,0,1,2,3,4,5,6,7,8,9,batch,celltype
Human mature astrocytes,-399.44604,397.597,-785.7709,-1509.9554,-462.16818,1292.0563,-873.43866,-245.40837,-96.421555,215.57715,human,astrocytes
Human mature astrocytes.1,-303.05545,-115.287346,-1070.105,-2016.8153,-802.72125,2481.2756,-1534.6036,64.67481,204.75064,-259.7773,human,astrocytes
Human mature astrocytes.2,-392.64203,101.37138,-924.3384,-1644.7607,-659.2542,1789.4867,-941.645,258.35,481.0422,-63.335648,human,astrocytes
Human mature astrocytes.3,-330.0572,-32.267952,-1035.3815,-1764.659,-677.7352,2128.2014,-1108.2872,196.73753,448.08292,-134.40825,human,astrocytes
Human mature astrocytes.4,-278.58203,508.12628,-613.249,-1419.5406,-584.9194,1736.6619,-1029.9104,-1171.9557,-162.04701,341.49338,human,astrocytes
Human mature astrocytes.5,-435.09326,17.904636,-1118.7632,-1945.4244,-889.51355,2662.5425,-1329.9097,118.77168,691.4209,-193.61299,human,astrocytes
Human mature astrocytes.6,-194.64502,76.5403,-317.52814,-769.2453,-333.27853,652.0731,-230.73497,-807.3995,-190.53291,266.96585,human,astrocytes
Human mature astrocytes.7,-286.14822,-0.2569263,-396.32626,-996.7739,-366.68066,869.2797,-564.8685,-608.5104,-199.4516,175.94101,human,astrocytes
Human mature astrocytes.8,-134.53958,-81.37167,-912.35,-1581.1038,-573.2806,1657.4395,-806.0332,450.8823,424.16226,-155.1884,human,astrocytes
Human mature astrocytes.9,-423.7711,-110.596405,-687.5906,-1311.5255,-503.6248,1138.2031,-589.4358,494.22482,285.39005,-186.50583,human,astrocytes
Human mature astrocytes.10,-191.25777,78.83309,-596.09283,-1294.1221,-330.53314,1257.9434,-770.6986,-699.43024,-238.18832,27.01804,human,astrocytes
Human mature astrocytes.11,-258.55875,-5.8846817,-501.537,-1115.7294,-250.07884,977.95746,-537.53253,-588.34937,-197.92592,7.659055,human,astrocytes
Human Neurons,-400.87097,-209.67792,-40.40382,-489.17664,97.18453,-976.47986,-50.07235,327.78113,102.301765,-331.46503,human,neurons
Human Oligodendrocytes,1041.206,84.82924,843.695,1690.6917,333.61087,-672.0988,1175.0354,-1705.2965,439.94415,518.57916,human,oligodendrocytes
Human Oligodendrocytes.1,1277.1823,-28.928041,253.28807,1031.6385,2365.1216,-328.28574,1293.4034,-1289.4384,345.72214,-384.38358,human,oligodendrocytes
Human Oligodendrocytes.2,2729.984,163.798,521.93085,2050.9976,3305.5757,168.86353,1538.172,-1887.2719,685.7242,-575.7355,human,oligodendrocytes
Human Oligodendrocytes.3,1527.5697,66.97352,211.14377,295.85907,610.0261,-956.82184,889.09406,-781.3913,-175.77364,-138.73265,human,oligodendrocytes
Human Oligodendrocytes.4,2566.7126,113.98293,269.46432,937.8682,1708.9437,-562.33014,1300.7726,-887.59845,-33.167522,-98.67623,human,oligodendrocytes
Human Microglia/Macrophage,-443.73154,4.323026,853.2712,2125.4485,-1295.3391,-299.5873,517.8972,1024.2152,624.596,454.22464,human,microglia
Human Microglia/Macrophage.1,-472.2563,499.5251,2694.92,6411.1763,-3181.2207,474.76395,23.158634,-199.53789,154.03291,611.5161,human,microglia
Human Microglia/Macrophage.2,-484.1198,918.2254,4139.3306,10158.834,-5321.9297,1789.3951,-868.5746,868.8304,-549.811,-446.3941,human,microglia
Human Endothelial,-320.78973,-119.54253,430.68817,-163.02977,135.23297,-1289.2556,575.66125,-147.18465,-590.8154,382.25354,human,endothelial
Human Endothelial.1,-181.61179,-141.14316,158.71973,-532.27454,154.54115,-1212.5493,279.76785,419.35663,-798.883,103.71623,human,endothelial
Human whole cortex,-140.65253,-213.55492,-337.85803,-775.6923,239.66722,-1106.8037,235.6009,1025.161,-907.8597,-345.41296,human,whole brain
Human whole cortex.1,-404.48083,-259.1249,-436.73795,-884.0841,168.1238,-1136.1935,586.3352,1540.9071,-995.37,-568.10376,human,whole brain
Human whole cortex.2,-367.18896,-233.63481,-362.69846,-877.0736,119.248436,-944.63055,176.24617,1023.0231,-858.03436,-338.21982,human,whole brain
Human whole cortex.3,-400.46497,-254.12083,-419.37097,-900.8088,162.89305,-1078.0695,438.48932,1343.608,-1080.3225,-512.5501,human,whole brain
Mouse astrocytes-FACS,-11533.57,-6557.4995,-2278.0603,236.82962,-1128.789,-42.3828,761.4951,127.80027,-663.2774,225.98811,mouse,astrocytes
Mouse astrocytes-FACS.1,-11557.535,-6791.2124,-2741.981,52.619427,-1611.0851,745.6325,2105.1594,2398.8481,2202.1992,91.41476,mouse,astrocytes
Mouse astrocytes-immunopanned,-10202.254,-4901.244,-2481.6243,-581.83997,-1832.0997,1960.8513,1614.1276,-505.23425,-684.77386,109.63983,mouse,astrocytes
Mouse astrocytes-immunopanned.1,-11105.25,-4618.857,-2260.5398,-348.98953,-1444.602,1398.3578,1406.1029,-833.0733,-1381.2217,141.62389,mouse,astrocytes
Mouse astrocytes-immunopanned.2,-10639.555,-4975.9097,-2675.167,-522.63885,-1905.7096,1948.6416,2081.8452,842.8584,1040.1388,242.74504,mouse,astrocytes
Mouse astrocytes-immunopanned.3,-10338.09,-4355.009,-2140.4714,-543.0758,-1665.1426,1905.587,1835.5847,-935.55505,-1301.7343,25.702888,mouse,astrocytes
Mouse neurons,-11444.189,-7238.7085,-1094.501,668.4351,-292.73898,-2341.8816,-1100.5422,-198.01073,621.75354,-1368.7423,mouse,neurons
Mouse neurons.1,-11467.489,-6988.488,-1050.5308,615.15485,-313.5352,-2223.3108,-1136.1178,-355.38254,454.36563,-1378.0527,mouse,neurons
Mouse oligodendrocytes,-11489.634,-4412.9473,-1382.6079,401.46744,-387.3541,-1005.0468,-803.0115,-330.6674,-368.9014,1085.9545,mouse,oligodendrocytes
Mouse oligodendrocytes.1,-11325.825,-5370.0586,-1007.8879,515.4132,-124.798134,-1640.6036,-1415.2202,-477.34857,-182.92307,1517.4451,mouse,oligodendrocytes
Mouse oligodendrocytes.2,15993.033,-4552.733,-1835.9276,4856.683,10022.64,3041.3928,-752.0786,1522.1984,-445.36652,146.33392,mouse,oligodendrocytes
Mouse oligodendrocytes.3,16856.945,-4133.146,-850.8752,1239.2455,1603.1536,-1055.5465,-1962.2124,405.65088,-67.61945,1979.2167,mouse,oligodendrocytes
Mouse oligodendrocytes.4,104007.2,5282.011,762.9977,-1950.9819,-3868.656,-1027.268,315.9344,-315.147,308.31067,-239.02373,mouse,oligodendrocytes
Mouse oligodendrocytes.5,64805.51,1529.2123,-40.73565,592.88684,1446.8574,790.3372,260.08762,31.296862,-282.15512,-387.69568,mouse,oligodendrocytes
Mouse microglia,-15797.584,35977.543,1442.0887,1069.5789,-436.4808,214.00558,-445.72592,137.94917,-250.46591,-977.2777,mouse,microglia
Mouse microglia.1,-17464.066,52198.914,-1001.0243,-821.2715,818.71716,-394.87976,220.82565,38.21831,289.1917,627.2126,mouse,microglia
Mouse endothelial,-11653.762,-6167.868,10599.636,-3077.3274,944.77783,922.204,314.087,292.09274,-20.746061,80.13595,mouse,endothelial
Mouse endothelial.1,-11673.038,-6041.1797,11725.792,-3396.66,1114.1521,1075.8041,276.92868,246.81497,50.016113,144.46129,mouse,endothelial
Mouse whole brain,-11362.212,-5980.689,-577.24005,359.52258,-311.6985,-1498.0001,-1229.7585,-720.1493,255.76187,-690.4942,mouse,whole brain
Mouse whole brain.1,-11233.1045,-5855.3853,-575.4909,331.7067,-314.55182,-1341.5431,-1158.0468,-756.1454,153.8513,-732.1782,mouse,whole brain
Mouse whole brain.2,-11375.753,-6046.768,-535.788,303.2661,-313.25827,-1432.3007,-1189.4893,-617.11035,273.59448,-644.863,mouse,whole brain
