,0,1,2,3,4,5,6,7,8,9,batch,celltype
Human Oligodendrocytes,-1750.345,1920.1124,1700.1271,567.5733,-73.09688,1683.7849,98.59856,68.85263,-479.9516,-390.73822,human,oligodendrocytes
Human Oligodendrocytes.1,-1956.2888,496.45367,2778.1636,1683.7023,472.1442,502.8418,-364.064,23.985815,248.3981,-64.18591,human,oligodendrocytes
Human Oligodendrocytes.2,-3432.3552,1197.5697,3511.0908,2963.4846,727.4754,612.35065,-355.97006,-173.66057,427.53622,-489.3678,human,oligodendrocytes
Human Oligodendrocytes.3,-2207.467,356.09137,1587.5286,-12.808947,-41.917847,646.07465,-674.3371,-173.575,29.15728,316.29025,human,oligodendrocytes
Human Oligodendrocytes.4,-3262.3213,607.4813,2383.0537,897.82794,181.02267,560.1754,-561.886,-105.86251,-292.91562,-680.6615,human,oligodendrocytes
Human Microglia/Macrophage,-288.13025,2779.9263,-49.613968,-785.2606,-433.5341,-367.10577,10.670612,2206.8977,-917.62,-219.75208,human,microglia
Human Microglia/Macrophage.1,-364.58615,7777.997,-950.8594,-16.16967,-714.9317,453.3666,276.6479,489.56528,-723.9394,-575.48083,human,microglia
Human Microglia/Macrophage.2,-460.2931,12209.099,-2724.8037,328.21567,-887.58704,-1242.256,-311.35114,-819.75073,681.1102,424.05118,human,microglia
Human Endothelial,-349.5596,185.51428,1149.2876,-1038.7872,-261.17148,472.87708,-126.30181,-420.69705,-639.33923,-181.68143,human,endothelial
Human Endothelial.1,-478.24692,-263.40176,882.3544,-1204.6888,-225.88803,-231.34695,-236.17769,-305.51086,-470.72873,54.6372,human,endothelial
Human whole cortex,-507.2087,-694.8559,733.6666,-1226.9,-214.11359,-899.2341,-838.9003,-65.42588,-334.5816,173.26263,human,whole brain
Human whole cortex.1,-250.61618,-787.9411,758.4581,-1450.3137,-248.58943,-1104.06,-1628.7327,4.1102686,-283.79706,-67.395775,human,whole brain
Human whole cortex.2,-283.72977,-756.4042,508.95132,-1180.4106,-213.35738,-831.6791,-905.74316,-81.55399,-337.28882,108.705414,human,whole brain
Human whole cortex.3,-252.13516,-800.5363,676.65564,-1366.1692,-233.83286,-1013.18115,-1484.6803,-102.83882,-333.78458,-12.460603,human,whole brain
Mouse astrocytes-FACS,-477.0539,-905.11163,-902.064,282.4222,-9.159035,-119.88009,0.6523485,-28.633568,-0.021593878,-4.4384847,mouse,astrocytes
Mouse astrocytes-FACS.1,-326.01245,-911.84705,-660.5453,-123.90224,-10.331816,-146.40239,-94.65823,-235.09593,-81.38538,-46.2186,mouse,astrocytes
Mouse astrocytes-immunopanned,-807.8533,-955.9644,-1065.7971,322.1502,99.28104,-107.356636,-32.363533,107.34384,39.925655,-59.024605,mouse,astrocytes
Mouse astrocytes-immunopanned.1,-124.041725,-833.49054,-664.8024,315.83813,-183.21533,-94.63789,-117.37915,-245.10405,-193.57195,117.08419,mouse,astrocytes
Mouse astrocytes-immunopanned.2,-434.08316,-895.9338,-876.22577,236.64073,35.234177,-121.674736,-16.498194,-1.2914124,19.995207,-18.950745,mouse,astrocytes
Mouse astrocytes-immunopanned.3,-712.3968,-812.29407,-791.0165,413.8989,8.5125,-29.125301,-91.54865,-191.19113,-111.97957,135.52692,mouse,astrocytes
Mouse neurons,-444.7588,-310.3167,525.25494,-431.21375,-79.591705,-196.5457,307.9141,-22.817108,96.16962,102.90697,mouse,neurons
Mouse neurons.1,-442.3991,-342.46902,407.53174,-362.4557,-189.30768,-138.26955,307.1619,-128.6653,21.890059,108.80137,mouse,neurons
Mouse oligodendrocytes,-426.0121,-810.2383,-800.40753,64.392555,-223.5527,-9.879529,58.323784,-11.768189,94.67942,-2.7606387,mouse,oligodendrocytes
Mouse oligodendrocytes.1,-430.0554,-480.03317,-133.93365,-285.78464,84.48235,74.56404,338.50027,-123.60436,62.113426,-58.98329,mouse,oligodendrocytes
Mouse oligodendrocytes.2,7871.8745,22.232796,1754.9755,2499.9563,634.3414,-926.4245,-327.3109,134.59492,-171.22531,-250.25877,mouse,oligodendrocytes
Mouse oligodendrocytes.3,30472.592,313.28888,414.34467,17.144117,-26.028938,554.3002,-123.985634,-74.448364,80.445595,18.906862,mouse,oligodendrocytes
Mouse oligodendrocytes.4,-863.2681,103.89286,-1405.7612,-2155.671,-512.478,3557.5566,-1792.9651,598.8757,1148.1724,597.1075,mouse,oligodendrocytes
Mouse oligodendrocytes.5,-1234.6444,6.254201,1023.23425,1557.4347,25.012222,82.96721,-545.2986,-81.575874,-43.627907,285.19467,mouse,oligodendrocytes
Mouse microglia,-452.4482,1735.7444,-1414.7102,-1638.2903,7343.6396,203.75838,80.713264,-89.84908,-138.84888,-172.69217,mouse,microglia
Mouse microglia.1,-414.3192,-648.9112,-788.2133,342.7158,-1220.7023,498.10114,-82.62468,461.07346,-127.783165,-1073.1254,mouse,microglia
Mouse endothelial,-475.53214,-199.87299,361.4203,-434.24625,-163.06116,154.1392,294.49255,-68.39807,-29.217749,33.446114,mouse,endothelial
Mouse endothelial.1,-492.63358,-125.971436,405.96567,-357.09955,-229.46967,199.9787,395.89212,-183.00656,29.93695,-133.64839,mouse,endothelial
Mouse whole brain,-400.6716,-396.2704,-1.8948356,-287.09775,-129.85579,134.22621,339.93457,-100.554955,95.17871,-12.1744,mouse,whole brain
Mouse whole brain.1,-536.01227,-413.54877,-61.097977,-182.17044,-173.13379,127.76655,246.62169,-132.73639,17.604816,19.95552,mouse,whole brain
Mouse whole brain.2,-388.0313,-435.28683,-34.997223,-310.89035,-98.00512,97.19964,318.71365,-69.30819,98.769585,11.514356,mouse,whole brain
